Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
234060,0304-06-,PRINCE EDWARD ISLAND,South Africa,Indian Ocean (southern),672,S,46,38,0,E,37,57,0,-46.63,37.95
234070,0304-07-,MARION ISLAND,South Africa,Indian Ocean (southern),1230,S,46,54,0,E,37,45,0,-46.9,37.75
241010,0401-01=,KAIKOHE-BAY OF ISLANDS,New Zealand,New Zealand,388,S,35,18,0,E,173,54,0,-35.3,173.9
241020,0401-02=,AUCKLAND VOLCANIC FIELD,New Zealand,New Zealand,260,S,36,53,24,E,174,48,36,-36.89,174.81
241021,0401-021,MAYOR ISLAND,New Zealand,New Zealand,355,S,37,17,0,E,176,15,0,-37.28,176.25
241030,0401-03=,TARANAKI,New Zealand,New Zealand,2518,S,39,18,0,E,174,4,0,-39.3,174.07
241040,0401-04=,WHAKAARI (WHITE ISLAND),New Zealand,New Zealand,294,S,37,31,0,E,177,11,0,-37.52,177.18
241050,0401-05=,OKATAINA,New Zealand,New Zealand,1111,S,38,9,25,E,176,30,25,-38.1569,176.5069
241070,0401-07=,TAUPO,New Zealand,New Zealand,760,S,38,46,52,E,175,53,35,-38.7811,175.893
241080,0401-08=,TONGARIRO / NGAURUHOE,New Zealand,New Zealand,1978,S,39,9,24,E,175,37,57,-39.157,175.632
241100,0401-10=,RUAPEHU,New Zealand,New Zealand,2797,S,39,17,0,E,175,34,0,-39.28,175.57
241101,0401-101,CLARK,New Zealand,New Zealand,-860,S,36,26,47,E,177,50,20,-36.446,177.839
241102,0401-102,TANGAROA,New Zealand,New Zealand,-600,S,36,19,15,E,178,1,42,-36.321,178.028
241110,0401-11-,RUMBLE V,New Zealand,New Zealand,-400,S,36,8,30,E,178,11,45,-36.142,178.196
241120,0401-12-,RUMBLE IV,New Zealand,New Zealand,-500,S,36,8,0,E,178,3,0,-36.13,178.05
241130,0401-13-,RUMBLE III,New Zealand,New Zealand,-220,S,35,44,42,E,178,28,42,-35.745,178.478
